# Colorado Snow Depth, March 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Missing: M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Trace: T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
US1COBR0032,BROOMFIELD 3.2 NNE,BROOMFIELD,CO,5230,39.99,-105.05,M,M,5.5,7.5,6.5,6,4,3,0.5,T,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COMR0084,BRUSH 0.3 E,MORGAN,CO,4244,40.26,-103.63,M,M,M,1.7,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COMR0001,BRUSH 0.8 S,MORGAN,CO,4254,40.25,-103.62,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COMR0002,BRUSH 1.3 W,MORGAN,CO,4254,40.26,-103.65,M,M,M,1.6,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00051060,BUCKHORN MTN 1 E,LARIMER,CO,7398,40.62,-105.3,9,8,6,12,10,9,6,6,6,5,4,T,T,0,0,0,0,0,T,0,0,0,0,T,T,T,0,0,0,0,0
USC00051071,BUENA VISTA 2S,CHAFFEE,CO,7952,38.82,-106.13,6,8,6,5,4,4,2,T,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
US1COCF0025,BUENA VISTA 4.0 WNW,CHAFFEE,CO,8807,38.86,-106.21,12,11,8,7,6,M,M,4,3,2,1.5,1,1,1,M,0.5,T,M,M,2,M,M,M,1,M,M,M,M,M,M,M
US1COCF0005,BUENA VISTA 8.9 NNW,CHAFFEE,CO,8472,38.96,-106.2,M,M,12,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00051121,BURLINGTON,KITCARSON,CO,4161,39.31,-102.26,T,T,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COAR0056,BYERS 0.1 N,ARAPAHOE,CO,5196,39.71,-104.23,M,M,M,M,4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
